sensor_id,sensor_type,timestamp,value_type,value,location,lat,lon,location_name
49,pms5003,3/1/2024 3:02,P1,10,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:02,P0,4.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:02,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:02,temperature,19.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
801,DHT22,3/1/2024 3:02,humidity,74.2,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
801,DHT22,3/1/2024 3:02,temperature,21.2,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
49,pms5003,3/1/2024 3:03,P2,7,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:03,P1,7,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:03,P0,4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:03,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:03,temperature,19.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:03,P2,5.5,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:03,P1,7,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:03,P0,4.5,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:04,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:04,temperature,19.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
4849,pms5003,3/1/2024 3:04,P2,14,3626,-1.283,36.828,"River Road, City Centre sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
4849,pms5003,3/1/2024 3:04,P1,14,3626,-1.283,36.828,"River Road, City Centre sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
4849,pms5003,3/1/2024 3:04,P0,10,3626,-1.283,36.828,"River Road, City Centre sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:04,P2,8.6,3573,-1.289,36.825,Unknown
49,pms5003,3/1/2024 3:04,P1,8.6,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:04,P0,5,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:04,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:04,temperature,19.3,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
4850,DHT22,3/1/2024 3:04,humidity,68.6,3626,-1.283,36.828,"River Road, City Centre sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
4850,DHT22,3/1/2024 3:04,temperature,23.5,3626,-1.283,36.828,"River Road, City Centre sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
79,SDS011,3/1/2024 3:04,P2,20.8,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
79,SDS011,3/1/2024 3:04,P1,20.8,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
79,SDS011,3/1/2024 3:04,P0,12.4,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
80,DHT22,3/1/2024 3:04,humidity,77.5,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
80,DHT22,3/1/2024 3:04,temperature,21.8,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
49,pms5003,3/1/2024 3:05,P2,8.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:05,P1,8.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:05,P0,3.2,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:05,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:05,temperature,19.3,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:05,P2,5.6,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:05,P1,6.2,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:05,P0,5,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:05,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:05,temperature,19.3,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
800,pms5003,3/1/2024 3:05,P2,8,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
800,pms5003,3/1/2024 3:05,P1,10,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
800,pms5003,3/1/2024 3:05,P0,6,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
801,DHT22,3/1/2024 3:05,humidity,74.4,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
801,DHT22,3/1/2024 3:05,temperature,21.2,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
49,pms5003,3/1/2024 3:06,P2,5.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:06,P1,8.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:06,P0,4.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:06,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:06,temperature,19.3,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:06,P2,6,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:06,P1,9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:06,P0,3,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:06,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:06,temperature,19.2,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
4849,pms5003,3/1/2024 3:07,P2,14,3626,-1.283,36.828,"River Road, City Centre sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
4849,pms5003,3/1/2024 3:07,P1,15,3626,-1.283,36.828,"River Road, City Centre sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
4849,pms5003,3/1/2024 3:07,P0,10,3626,-1.283,36.828,"River Road, City Centre sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:07,P2,9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
